Game,Publisher,TotalSales,NASales,PALSales,JPSales,OtherSales,ReleaseDate,LinkToPage
Call of Duty 4: Modern Warfare,Activision,6.72m,3.13m,2.27m,0.28m,1.04m,05th Nov 07,https://www.vgchartz.com/games/game.php?id=7607&region=All
FIFA Soccer 12,EA Sports,6.65m,0.84m,4.33m,0.11m,1.37m,27th Sep 11,https://www.vgchartz.com/games/game.php?id=50884&region=All
Big Brain Academy,Nintendo,6.63m,1.66m,2.75m,1.60m,0.62m,05th Jun 06,https://www.vgchartz.com/games/game.php?id=193&region=All
FIFA 14,EA Sports,6.61m,0.79m,4.77m,0.07m,0.98m,24th Sep 13,https://www.vgchartz.com/games/game.php?id=72084&region=All
Red Dead Redemption,Rockstar Games,6.57m,2.82m,2.58m,0.17m,1.00m,11th Oct 11,https://www.vgchartz.com/games/game.php?id=31326&region=All
The Legend of Zelda,Nintendo,6.51m,3.74m,0.93m,1.69m,0.14m,22nd Aug 87,https://www.vgchartz.com/games/game.php?id=6925&region=All
Donkey Kong Country Returns,Nintendo,6.50m,3.19m,1.81m,1.03m,0.47m,21st Nov 10,https://www.vgchartz.com/games/game.php?id=45674&region=All
Assassin's Creed III,Ubisoft,6.50m,2.65m,2.61m,0.16m,1.08m,30th Oct 12,https://www.vgchartz.com/games/game.php?id=70617&region=All
Red Dead Redemption,Rockstar Games,6.50m,3.77m,2.03m,0.09m,0.60m,18th May 10,https://www.vgchartz.com/games/game.php?id=31325&region=All
The Elder Scrolls V: Skyrim,Bethesda Softworks,6.49m,2.57m,2.68m,0.25m,0.99m,11th Nov 11,https://www.vgchartz.com/games/game.php?id=49113&region=All
Halo: Combat Evolved,Microsoft,6.43m,4.98m,1.30m,0.08m,0.07m,14th Nov 01,https://www.vgchartz.com/games/game.php?id=939&region=All
Pokémon Emerald Version,Nintendo,6.41m,2.57m,1.58m,2.06m,0.21m,30th Apr 05,https://www.vgchartz.com/games/game.php?id=4023&region=All
Kingdom Hearts,Square EA,6.40m,3.64m,1.20m,1.49m,0.07m,16th Sep 02,https://www.vgchartz.com/games/game.php?id=1129&region=All
Pokémon Crystal Version,Nintendo,6.39m,2.55m,1.56m,1.29m,0.99m,29th Jul 01,https://www.vgchartz.com/games/game.php?id=4021&region=All
World of Warcraft,Blizzard Entertainment,6.35m,0.12m,6.24m,N/A,N/A,23rd Nov 04,https://www.vgchartz.com/games/game.php?id=6529&region=All
Halo 3: ODST,Microsoft Game Studios,6.35m,4.34m,1.34m,0.06m,0.61m,22nd Sep 09,https://www.vgchartz.com/games/game.php?id=29077&region=All
Minecraft,Sony Computer Entertainment,6.33m,1.89m,3.13m,0.35m,0.96m,07th Oct 14,https://www.vgchartz.com/games/game.php?id=75586&region=All
FIFA 15,EA Sports,6.32m,0.83m,4.49m,0.05m,0.94m,23rd Sep 14,https://www.vgchartz.com/games/game.php?id=82916&region=All
Super Mario Sunshine,Nintendo,6.31m,4.01m,1.26m,0.87m,0.17m,25th Aug 02,https://www.vgchartz.com/games/game.php?id=2281&region=All
Street Fighter II: The World Warrior,Capcom,6.30m,2.47m,0.83m,2.87m,0.12m,01st Jul 92,https://www.vgchartz.com/games/game.php?id=4386&region=All
The Last of Us,Sony Computer Entertainment America,6.27m,2.41m,2.57m,0.29m,0.99m,14th Jun 13,https://www.vgchartz.com/games/game.php?id=70350&region=All
Driver,GT Interactive,6.27m,3.11m,2.80m,0.02m,0.33m,30th Jun 99,https://www.vgchartz.com/games/game.php?id=590&region=All
Call of Duty: WWII,Activision,6.23m,3.75m,1.91m,N/A,0.57m,03rd Nov 17,https://www.vgchartz.com/games/game.php?id=170598&region=All
Kinect Sports,Microsoft Game Studios,6.23m,3.92m,1.73m,0.03m,0.55m,04th Nov 10,https://www.vgchartz.com/games/game.php?id=45607&region=All
